PROJETO;TITULO;CRITERIO;MUNICIPIO;CARTEIRA;STATUS;ESTÁGIO DE OBRAS;PRE FECHAMENTO;OBS;SUPERVISOR;ENCARREGADO;RESPONSÁVEL;PLANO;AVANÇO;CLIENTE;PSTP INICIAL;PSTP FINAL;DESLIGAMENTO PROGRAMADO;DATA INICIO PROGRAMADA;DATA FINAL PROGRAMADA;DATA DE REPROGRAMAÇÃO;SERVIÇO COM LV;OBRA MIGRADA;PES;LATITUDE;LONGITUDE;MAPS;DATA INICIAL REAL;DATA FINAL REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OBS.1;STATUS_AUDITORIA;MOTIVO_DESCARTE
1225928;ER-CIND-SI-BARRERINHO-RURAL-PILAO ARCADO;PRIORIDADE PLANO ANEEL;PILÃO ARCADO;JANEIRO 2026;CONCLUÍDA;NÃO INICIADA;COMPLETO;nan;SANTIAGO;JACSON;MARLOS LOPES;7.1.2.3;100%;4;13;nan;29/01/2026;26/01/2026;30/01/2026;nan;nan;NÃO;nan;-9.756372;-42.594717;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1113834;AC-CIND ESCOLA MUN.DE BREJINHO-RURAL;PRIORIDADE PLANO ANEEL;PILÃO ARCADO;JANEIRO 2026;A PROGRAMAR;NÃO INICIADA;A SOLICITAR;nan;SANTIAGO;nan;nan;7.1.2.3;100%;65;20;nan;nan;08/07/2025;28/02/2026;nan;nan;NÃO;nan;-9.9331343;-43.902232;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1067400;MP CIND CIND POV QUEIMADAS RURAL;JUDICIAL;PILÃO ARCADO;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;nan;SANTIAGO;JACSON;MARLOS LOPES;7.1.2.3;40%;106;331;nan;nan;29/01/2026;29/04/2026;nan;nan;NÃO;nan;-10.426101;-42.569698;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
478517;MP-CCOL-POV. DE MONTE ALEGRE-RURAL;JUDICIAL;REMANSO;JANEIRO 2026;AVANÇO;NÃO INICIADA;A SOLICITAR;nan;PAULO JUNIOR;nan;MARLOS LOPES;14.7.3;40%;52;580;nan;nan;25/01/2026;27/06/2026;nan;nan;NÃO;nan;-9.614871;-41.801225;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1200645;AC-CIND- POV.MORRO BRANCO (F.V.)-RURAL;PRIORIDADE PLANO ANEEL;REMANSO;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;nan;PAULO JUNIOR;nan;MARLOS LOPES;7.1.2.3;100%;1;8;nan;nan;12/01/2026;30/01/2026;nan;nan;NÃO;nan;-9.42607;-42.387157;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1233002;ME-COEL-POV-AZULAO-ALTO DO BELA VISTA;EQUIPAMENTO;REMANSO;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;A SOLICITAR;SERÁ EXECUTADA A PARTIR DE FEVEREIRO;ANDERSON;PEDRO LINO;MARLOS LOPES;8.2.2.3;100%;0;5;nan;nan;nan;26/01/2026;31/01/2026;nan;NÃO;nan;-9.5572145;-43.054515;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1233010;ME-CIND-RUA- AZULAO-ALTO DA BELA VISTA;EQUIPAMENTO;REMANSO;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;A SOLICITAR;SERÁ EXECUTADA A PARTIR DE FEVEREIRO;ANDERSON;PEDRO LINO;MARLOS LOPES;8.2.2.3;100%;0;4;nan;nan;nan;19/01/2026;23/01/2026;nan;NÃO;nan;-9.5572145;-43.054515;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1167101;MP CIND POV MORRO BRANCO MORRO BRANCO RU;LPT;REMANSO;JANEIRO 2026;A PROGRAMAR;NÃO INICIADA;COMPLETO;nan;PAULO JUNIOR;nan;MARLOS LOPES;14.7.3;100%;4;28;nan;nan;12/01/2026;30/01/2026;nan;nan;NÃO;nan;-9.418078;-42.371301;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1024327;ER-CIND-POV-CALDEIRAOZINHO-RURAL;SOLICITAÇÃO ATENDIMENTO;JUAZEIRO;JANEIRO 2026;PROGRAMADA;ESCAVAÇÃO;A SOLICITAR;nan;EDIE JONNES;nan;CARLOS EDUARDO;14.7.3;50%;5;41;nan;nan;26/01/2026;05/03/2026;nan;nan;NÃO;nan;-9,3837713;-40,2750484;nan;nan;nan;nan;nan;nan;Consolidado;N/A
1195628;ER-CIND-POV-MALHADINHA-NOVA ESPERANCA;PRIORIDADE PLANO ANEEL;REMANSO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;PAULO JUNIOR;MAURICIO;MARLOS LOPES;7.1.2.3;100%;1;1;nan;nan;nan;21/01/2026;21/01/2026;nan;NÃO;nan;-9.8978826;-42.2925298;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1200640;RR-CIND-POV-MORRO BRANCO-RURAL;LPT;REMANSO;JANEIRO 2026;A PROGRAMAR;NÃO INICIADA;COMPLETO;nan;SANTIAGO;JACSON;MARLOS LOPES;14.7.3;100%;2;26;nan;nan;12/01/2026;31/01/2026;nan;nan;NÃO;nan;-9.42323989;-42.3867945;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1126380;LD-CIND-FAZ S O JOAO-RURAL-STS;JUDICIAL;SENTO SÉ;JANEIRO 2026;CONCLUÍDA;NÃO INICIADA;COMPLETO;nan;EDIE JONNES;WAGNER;SANDRO SANTOS;7.1.2.3;100%;2;19;nan;nan;21/01/2026;26/01/2026;nan;nan;NÃO;nan;-9.826315;-41.4656082;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1225704;ER-CIND-POV-JUNCO 10-JUNCO;QLP;SENTO SÉ;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;nan;EDIE JONNES;WAGNER;SANDRO SANTOS;7.1.2.3;100%;1;14;nan;nan;23/01/2026;27/01/2026;nan;nan;NÃO;nan;-9.873594;-41.081387;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1173082;ER-CIND-POV-SÃO PEDRO-RURAL;RECLAMAÇÃO;SENTO SÉ;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;nan;EDIE JONNES;WAGNER;SANDRO SANTOS;14.4.12.1;100%;1;3;nan;nan;27/01/2026;28/01/2026;nan;nan;NÃO;nan;-10.315422;-41.8298749;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1225301;ER-CIND-POV-ILHA ANDORINHA-RURAL;QLP;SENTO SÉ;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;nan;EDIE JONNES;WAGNER;SANDRO SANTOS;7.1.2.3;100%;2;8;nan;nan;28/01/2026;31/01/2026;nan;nan;NÃO;nan;-9.738677;-41.977129;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1226571;RR-CIND-FAZ-SANDRA -RURAL;PRIORIDADE PLANO ANEEL;SENTO SÉ;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;PENDENTE TRAFO;EDIE JONNES;WAGNER;SANDRO SANTOS;7.1.2.3;100%;1;3;nan;nan;29/01/2026;30/01/2026;nan;nan;NÃO;nan;-9.863622;-41.793853;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1117330;LD - CIND - POV TESTA BRANCA - RURAL;SOLICITAÇÃO ATENDIMENTO;UAUÁ;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;RODRIGUES;DOMINGOS;CARLOS EDUARDO;14.4.12.1;100%;1;12;nan;nan;06/01/2026;10/1/2026;nan;SIM;NÃO;nan;-10.01758;-39.545825;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1234256;ER-CIND-FAZ-PRACA DOS MENEZES-RURAL;PRIORIDADE PLANO ANEEL;UAUÁ;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;RODRIGUES;DOMINGOS;CARLOS EDUARDO;7.1.2.3;100%;1;0;nan;nan;12/01/2026;12/01/2026;nan;nan;NÃO;nan;-9.891204;-39.491032;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1234504;ER-CIND-FAZ-SERRA DO SOBRADO-RURAL;PRIORIDADE PLANO ANEEL;UAUÁ;JANEIRO 2026;CONCLUÍDA;NÃO INICIADA;COMPLETO;nan;RODRIGUES;DOMINGOS;CARLOS EDUARDO;7.1.2.3;100%;1;3;nan;nan;13/01/2026;13/01/2026;nan;nan;NÃO;nan;-10.049202;-39.508504;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1202932;IS-COEL-POV-ALTO-DO CONCELHEIRO;GOVERNO;UAUÁ;JANEIRO 2026;AVANÇO;NÃO INICIADA;COMPLETO;nan;RODRIGUES;DOMINGOS;CARLOS EDUARDO;8.6.3;50%;0;5;nan;3 DESLIGAMENTOS;14/01/2026;26/01/2026;nan;nan;NÃO;nan;-9.95468;-39.207082;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1233357;UB-CIND-RUA-BELA VISTA-CENTRO;PRIORIDADE PLANO ANEEL;UAUÁ;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;RODRIGUES;DOMINGOS;CARLOS EDUARDO;7.1.2.3;100%;1;5;nan;nan;16/01/2026;16/01/2026;nan;nan;NÃO;nan;-9.843976;-39.489286;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1211540;ME-COEL-RUA-AGUAS BELAS-M AREIA-URBANA;AL/MELHORAMENTO;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;NELSON;DIEGO ALMEIDA;8.3.2.3;100%;0;2;nan;30/01;29/01/2026;07/02/2026;nan;nan;NÃO;nan;-9.425352;-40.490752;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1211728;ME-COEL-TRAF J01059-DIJ-01J2;AL/MELHORAMENTO;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;NELSON;DIEGO ALMEIDA;8.3.2.3;100%;0;1;nan;DESLIGAMENTO DIA 22/01;nan;nan;nan;nan;NÃO;nan;-9.492639;-40.4701646;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1189765;ME-COEL-AV-AGUAS BELAS-MALHADA DA AREIA;AL/MELHORAMENTO;JUAZEIRO;JANEIRO 2026;A PROGRAMAR;NÃO INICIADA;COMPLETO;nan;IVONALDO;NELSON;SANDRO SANTOS;8.2.1.3;100%;0;1;nan;DESLIGAMENTO DIA 28/01;27/01/2026;27/01/2026;nan;nan;NÃO;nan;-9.4141514;-40.5052186;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1238850;EQ-CIND-POV-ITAPERA-RURAL;REPUTACIONAL;SENTO SÉ;JANEIRO 2026;PROGRAMADA;NÃO INICIADA;COMPLETO;nan;EDIE JONNES;WAGNER;SANDRO SANTOS;8.1.4.2;100%;0;0;nan;nan;23/01/2026;30/01/2026;nan;nan;NÃO;nan;-9.7618919;-41.9323564;nan;nan;nan;nan;nan;nan;Consolidado;N/A
1194018;ME-COEL-AG AGUAS BELAS-MALHADA DA AREIA;nan;JUAZEIRO;JANEIRO 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;IVONALDO;NELSON;SANDRO SANTOS;8.2.1.3;100%;0;1;nan;DESLIGAMENTO DIA 26/01;28/01/2026;28/01/2026;nan;nan;NÃO;nan;-9.4165651;-40.5247917;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1229077;ER-CIND-POV-BAIXAO-RURAL;OBRAS ÁGEIS;CASA NOVA;janeiro 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;MICHEL;nan;DIEGO ALMEIDA;7.1.2.3;100%;1;2;nan;nan;30/01/2026;30/01/2026;nan;nan;NÃO;nan;-9.394975;-41.230686;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1195081;EQ COEL ROD BR 324 RURAL;EQUIPAMENTO;REMANSO;janeiro 2026;PROGRAMADA;ESCAVAÇÃO;COMPLETO;nan;ANDERSON;PEDRO LINO;MARLOS LOPES;7.1.2.3;100%;1;2;nan;nan;10/01/2026;30/01/2026;nan;SIM;SIM;nan;-9.6019523;-42.0840707;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1166759;AC-CIND-POV-PARA RURAL-BEM BOM 📸;QLP;CASA NOVA;janeiro 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;SANTIAGO;PAULO;DIEGO ALMEIDA;7.1.2.3;100%;0;2;nan;nan;16/01/2026;16/01/2026;nan;nan;NÃO;nan;-9.6295349;-41.8396333;Ver no Mapa;nan;16/01/2026;16/01/2026;nan;nan;Consolidado;N/A
1176138;IT-CIND-POV-PAU A PIQUE-RURAL;RECLAMAÇÃO;CASA NOVA;janeiro 2026;CONCLUÍDA;CONCLUÍDA;COMPLETO;nan;SANTIAGO;PAULO;DIEGO ALMEIDA;7.1.2.3;100%;0;1;nan;nan;nan;nan;nan;SIM;NÃO;nan;-9.618595;-41.6521913;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1229394;ER-CIND-POV-PEDRA BRANCA-RURAL;QLP;CURAÇÁ;janeiro 2026;CONCLUÍDA;ESCAVAÇÃO;COMPLETO;nan;RODRIGUES;DOMINGOS;CARLOS EDUARDO;7.1.2.3;100%;17;4;nan;nan;15/01/2026;23/01/2026;nan;nan;NÃO;nan;-8.710615;-39.439593;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1225098;ME-COEL-REATOR PG B707030-RMN-09X3;EQUIPAMENTO;REMANSO;janeiro 2026;EM EXECUÇÃO;EQUIPAMENTO;VIA E-MAIL;nan;SANTIAGO;nan;MARLOS LOPES;8.2.2.3;100%;0;6;nan;nan;17/12/2025;22/12/2025;nan;SIM;NÃO;nan;-9.514847;-43.309865;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1225155;ME-COEL-POV-AZULAO-ALTO DA BELA VISTA;MELHORIA;REMANSO;janeiro 2026;CONCLUÍDA;EQUIPAMENTO;COMPLETO;nan;SANTIAGO;nan;MARLOS LOPES;8.2.2.3;100%;0;5;nan;nan;nan;30/12/2025;nan;SIM;NÃO;nan;-9.4888497;-43.515759;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Consolidado;N/A
1246076;RC-PREF-TRV-ALTO DA -MARAVILHA;OBRA DE URGÊNCIA;JUAZEIRO;janeiro 2026;CONCLUÍDA;nan;nan;nan;EDIE JONNES;GISMARIO;SANDRO SANTOS;nan;100%;1;3;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Ver no Mapa;nan;nan;nan;nan;nan;Consolidado;N/A
1240861;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Consolidado;N/A
