B-1227403;PROJETO;TÍTULO;MUNICIPIO;ENCARREGADO;STATUS 1;ETAPA;OBS;SUPERVISOR;AR COELBA;CARTEIRA;VALOR DE PROJETO;VALOR REAL;PIN;PLANO;AVANÇO;OBRA SIMPLIFICADA;CRITÉRIO;LATITUDE;LONGITUDE;MAPS;REFERÊNCIA;SI PG;PG'S;VISITA PRÉVIA;PRÉ-FECHAMENTO;LINK PROJETO;SOL. DE RESERVA NO CES;DT. SEPARAÇÃO CES;DT. SAQUE DE MATERIAIS;PES ENCAB. BT/ ENERG.;RESUMO ENCAB. BT/ENERG.;PES LV;RESUMO LV;PES PD;RESUMO PES PD;DATA PD;STATUS PES PD;CLIET.;PSTP;PST EXEC;% POSTES;CAVP;CAVR;% CAVAS;PROVAVEL ROCHA;PV. INÍCIO;PV. FIM;DT REPROG;OBRA MIGRADA;DT I REAL;DT F REAL;ENERGIZAÇÃO;ENERG. INFORMADA;OC. ENERG.;AS BUILT;OBS.1;COORD;Carteira;PROJETO_FATO;STATUS_AUDITORIA;MOTIVO_DESCARTE
9102330959;B-1227402;ER-CIND-FAZ-CORREDORZINHO-RURAL;MIRANGABA;EUDARIO;ENERGIZADA;ENERGIZADA;CONCLUI ATÉ DIA 30/12;EDLECIO;ANTONIO GALINDO;12/11/2025;R$ 19.435,01;R$ 4.548,34;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,807500;-40,527397;nan;B591113;nan;E899719 AO E899720;nan;20/11/2025;17/11/2025;OK;04/12/2025;nan;CRIAR;nan;nan;nan;nan;nan;nan;nan;1;2;2,00;100,00%;nan;nan;0,00%;nan;02/12/2025;02/12/2025;30/12/2025;nan;nan;nan;05/01/2026;nan;nan;nan;nan;JACOBINA;01/12/2025;1227402;Consolidado;N/A
9102343097;B-1228377;ER-CIND-FAZ-TOMBADOR-RURAL;MIRANGABA;EUDARIO;ENERGIZADA;ENERGIZADA;FALTA TRAFO;EDLECIO;ANTONIO GALINDO;12/11/2025;R$ 112.421,06;R$ 19.206,66;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,951268;-40,580548;nan;D313840;nan;E899668 AO E899676;nan;02/12/2025;17/11/2025;OK;04/12/2025;nan;CRIAR;nan;2025-150741;nan;nan;nan;nan;nan;0;9;9,00;100,00%;nan;nan;0,00%;nan;04/12/2025;09/12/2025;26/12/25;nan;nan;nan;26/12/2025;nan;nan;nan;nan;JACOBINA;01/12/2025;1228377;Consolidado;N/A
9102344097;B-1228463;ER-CIND-POV-CANA BRAVA-RURAL;MIRANGABA;EUDARIO;ENERGIZADA;ENERGIZADA;CONCLUI ATÉ DIA 30/12;EDLECIO;ANTONIO GALINDO;12/11/2025;R$ 54.065,00;R$ 15.847,62;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,663822;-40,796948;nan;E752218;nan;E899625 AO  E899632;nan;02/12/2025;17/11/2025;OK;05/12/2025;nan;CRIAR;nan;nan;nan;nan;nan;nan;nan;1;8;8,00;100,00%;nan;nan;0,00%;nan;18/12/2025;20/12/2025;29/12/2025;nan;nan;nan;30/12/2025;nan;nan;nan;nan;JACOBINA;01/12/2025;1228463;Consolidado;N/A
9102352505;B-1228739;ER-CIND-POV-PAULISTA 5-RURAL;MIRANGABA;EUDARIO;ENERGIZADA;ENERGIZADA;FALTA TRAFO;EDLECIO;ANTONIO GALINDO;12/11/2025;R$ 27.702,89;R$ 2.595,39;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,930831;-40,622624;nan;D316037;nan;E899723;nan;03/12/2025;17/11/2025;OK;05/12/2025;nan;CRIAR;nan;2025-159031;nan;nan;nan;nan;nan;1;1;1,00;100,00%;nan;nan;0,00%;nan;03/12/2025;03/12/2025;26/12/2025;nan;nan;nan;26/12/2025;nan;nan;nan;nan;JACOBINA;01/12/2025;1228739;Consolidado;N/A
9102343390;B-1232827;ER-CIND-POV-TRICHEIRA-RURAL;MIRANGABA;EUDARIO;INICIADA;ESCAVAÇÃO;CONCLUI ATÉ DIA 30/12;EDLECIO;ANTONIO GALINDO;12/11/2025;R$ 41.620,46;R$ 6.472,45;7.1.2.3;PLANO 7;100%;NÃO;PRIORIDADE PLANO ANEEL;-10,6885009;-40,8847083;nan;E874368;nan;E878576 AO E878578;nan;02/12/2025;17/11/2025;OK;04/12/2025;nan;CRIAR;nan;2025-159055;nan;nan;nan;nan;nan;2;3;nan;0,00%;nan;nan;0,00%;nan;22/12/2025;23/12/2025;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;1232827;Consolidado;N/A
9102343147;B-1228840;ER-CIND-POV-NOVA CONQUISTA 100-RR-N CONQ;OUROLÂNDIA;EUDARIO;ENERGIZADA;ENERGIZADA;nan;EDLECIO;ANTONIO GALINDO;12/11/2025;R$ 23.181,00;R$ 883,81;7.1.2.3;PLANO 7;100%;NÃO;QLP;-10,827286;-41,204220;nan;B335568;nan;E899677;nan;03/12/2025;17/11/2025;OK;05/12/2025;nan;CRIAR;nan;2025-159079;nan;nan;nan;nan;nan;1;0;nan;0,00%;nan;nan;0,00%;nan;15/12/2025;16/12/2025;nan;nan;nan;nan;16/12/2025;nan;nan;nan;nan;JACOBINA;01/12/2025;1228840;Consolidado;N/A
9102332441;B-1226131;ER-CIND-POV-CAMPO VERDE-RURAL-C VERDE;QUIXABEIRA;JOSE MISAEL;ENERGIZADA;ENERGIZADA;nan;EDUARDO;RAFAEL CRUZ;12/11/2025;R$ 21.036,88;R$ 5.795,15;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,444819;-40,107800;nan;R001936;nan;E899714 AO E899716;nan;nan;17/11/2025;OK;05/12/2025;nan;CRIAR;nan;CRIAR;nan;nan;nan;nan;nan;1;3;3,00;100,00%;3;3;100,00%;nan;11/12/2025;11/12/2025;nan;nan;nan;nan;11/12/2025;nan;nan;nan;nan;JACOBINA;01/12/2025;1226131;Consolidado;N/A
9101734073;B-1033157;MP-CCOL-POV-INGAZEIRA-RURAL;TAPIRAMUTÁ;ALESSANDRO, ANTONIO;INICIADA;IMPLANTAÇÃO;FALTA ALÇA E TRAFO - 210497 TRAFO 1FF 10KVA 13,8KV 220V 5T VG  -  3430120 ALCA PREF DIST ALUM 4AWG 430MM;ANDERSON;ERIC TEIXEIRA;12/11/2025;R$ 895.710,67;nan;14.7.2003;PLANO 14;100%;NÃO;JUDICIAL;-11,898634;-40,801908;nan;nan;nan;nan;nan;02/12/2025;17/11/2025;OK;04/12/2025;nan;CRIAR;nan;2025-159966;ENCABEÇAR REDE MT;2025-157003;nan;23/12;nan;2;73;65,00;89,04%;80;63;78,75%;nan;01/12/2025;23/12/2025;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;1033157;Consolidado;N/A
9101937161;B-1094792;AC-CIND-PRC-DAMIAO RIBEIRO SANTOS-CENTRO;UMBURANAS;EUDARIO;ENERGIZADA;ENERGIZADA;SERA RETIRADA - DESLI. ( ABRIR CHAVE TRAFO SUBSTITUIR REDE BT ENTRE OS POSTES D543060 AO D547785. LV ( INTERCALAR POSTE MT E BANCADA DE TRAFO ENTRE  D543060 AO D547785.;EDLECIO;ERIC TEIXEIRA;12/11/2025;R$ 26.876,41;R$ 3.098,18;7.1.1.3;PLANO 7;100%;SIM;MMGD;-10,730951;-41,325334;nan;D547785;nan;E899653;nan;03/12/2025;17/11/2025;OK;05/12/2025;nan;nan;nan;2025-158684;nan;CRIAR;nan;10/12;nan;1;1;1,00;100,00%;nan;nan;0,00%;nan;13/12/2025;13/12/2025;10/12/2025;nan;nan;10/12/25;10/12/2025;SIM;nan;nan;nan;JACOBINA;01/12/2025;1094792;Consolidado;N/A
9101832834;B-1066103;MP-CIND-FAZ COLONIA 96-RURAL;VÁRZEA DO POÇO;OLISVALDO, HERMOGENES;INICIADA;IMPLANTAÇÃO;FALTA ALÇA E TRAFO - 210422 TRAFO 1FF 10KVA 13,8KV 220V 5T MI  -  3430120 ALCA PREF DIST ALUM 4AWG 430MM;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 173.942,65;R$ 78.949,75;14.7.2003;PLANO 7;100%;NÃO;PLANO 7;-11,463893;-40,360456;nan;B253439;1043557;E919696 AO E919731;nan;24/11/2025;17/11/2025;nan;nan;nan;CRIAR;TRANSFERENCIA  DE REDE BT ABRIR PASAGEM.;2 CRIAR;nan;nan;nan;nan;nan;4;40;34,00;85,00%;40;21;52,50%;nan;02/12/2025;13/12/2025;23/12/25;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;1066103;Consolidado;N/A
9102037744;B-1132660;ER-CIND-FAZ-JULIO FAGUNDES-RURAL;VÁRZEA DO POÇO;OLISVALDO, HERMOGENES;ENERGIZADA;ENERGIZADA;TRAFO E ALÇA;EDLECIO;RAFAEL CRUZ;12/11/2025;LPT;R$ 25.999,34;14.4.12.1;PLANO 14;100%;NÃO;nan;-11,589733;-40,326005;nan;R043043;nan;E899655 AO E899664;nan;03/12/2025;17/11/2025;OK;05/12/2025;nan;CRIAR;TRANSFERENCIA  DE REDE BT ABRIR PASAGEM.;CRIAR;nan;nan;nan;nan;nan;1;12;12,00;100,00%;nan;nan;0,00%;nan;15/12/2025;17/12/2025;26/12/25;nan;nan;nan;26/12/2025;nan;nan;nan;nan;JACOBINA;01/12/2025;1132660;Consolidado;N/A
9102301613;B-1212111;AC-CIND-FAZ-BAIXA DO MOREIRA-RURAL;VÁRZEA DO POÇO;OLISVALDO, HERMOGENES;INICIADA;IMPLANTAÇÃO;FALTA ALÇA E TRAFO - 210497 TRAFO 1FF 10KVA 13,8KV 220V 5T VG  -  3430120 ALCA PREF DIST ALUM 4AWG 430MM;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 159.738,74;R$ 38.217,79;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,568700;-40,291173;nan;D368706;nan;E899761 AO E899777;nan;01/12/2025;17/11/2025;OK;04/12/2025;nan;CRIAR;nan;CRIAR;nan;nan;nan;nan;nan;0;17;17,00;100,00%;nan;nan;0,00%;nan;18/12/2025;23/12/2025;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;1212111;Consolidado;N/A
9102345033;B-1226973;ER-CIND-POV-LAGINHA-LAGINHA;VÁRZEA DO POÇO;OLISVALDO, HERMOGENES;INICIADA;ESCAVAÇÃO;nan;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 9.195,17;R$ 2.081,05;7.1.2.3;PLANO 7;100%;NÃO;QLP;-11,495128;-40,335696;nan;B893552;nan;E899718;nan;28/11/2025;17/11/2025;OK;05/12/2025;nan;CRIAR;nan;nan;nan;nan;nan;nan;nan;1;1;nan;0,00%;nan;nan;0,00%;nan;05/12/2025;05/12/2025;19/12/2025;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;1226973;Consolidado;N/A
9102345567;B-1227538;ER-CIND-POV-PE DO MORRO 32-A-RR- V POCO;VÁRZEA DO POÇO;OLISVALDO, HERMOGENES;ENERGIZADA;ENERGIZADA;nan;EDLECIO;RAFAEL CRUZ;12/11/2025;R$ 13.961,46;R$ 4.038,01;7.1.2.3;PLANO 7;100%;NÃO;INSTITUCIONAL;-11,450857;-40,316341;nan;B186240;nan;E899721 AO E899722;nan;01/12/2025;17/11/2025;OK;05/12/2025;nan;CRIAR;nan;nan;nan;nan;nan;nan;nan;1;2;2,00;100,00%;nan;nan;0,00%;nan;09/12/2025;09/12/2025;17/12/2025;nan;nan;nan;16/12/2025;nan;nan;nan;nan;JACOBINA;01/12/2025;1227538;Consolidado;N/A
9102341646;B-1227403;COEL-ROD-BA130-CAPIM GROSSO-COMPLEMENTO;CAPIM GROSSO;JOSE MISAEL;INICIADA;ACABAMENTO;nan;EDUARDO;WELLINGTON SOUZA - U470124;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;01/06/2025;12/12/2025;29/12/25;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;1227403;Consolidado;N/A
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;JACOBINA;01/12/2025;0000000;Descartado;Projeto Vazio/Inválido
