NOTA;PROJETO;TÍTULO;MUNICIPIO;STATUS;ENCARREGADO;SUPERVISOR;"AR
COELBA";;CRITERIO;"ANÁLISE
PROJETO
PRÉ-FECH.";SOLICITAÇÃO DE RESERVA;"DATA SAQUE
MATERIAIS";"PES
LV";"PES 
ENCABEÇ. BT
/ ENERG.";"PES
PD";"DATA
PD";"STATUS
PES PD";SI PG;PG's;CLIENTES;PREVISTOS;CAVA REALIZADA;REALIZADO;Á REALIZAR;AVNR;AVNP;INCIO;FIM;DATA ENERG REAL;;REFERENCIA;LATITUDE;LONGITUDE;VALOR DE PROJETO;PROVAVEL ROCHA;NECESSIDADE DE VISITA;CABO 1X25;CABO 3X35;OBS;AVALIAÇÃO SERVIÇO;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102038514;B-1130167;ER-CIND-FAZ-DEUS DARA 398 --J-RURAL;MUNDO NOVO;;LUCIANO;RENATO;DIORLAN;;LPT;14/01/25;14/01/25;17/01/25;;2025-7212;;;;1016765/2024;E699046 ao E699055;1;10;;;10;;;27/01/25;31/01/25;;;;-11.8322768;-40.4201272;R$ 52.286,75;;;550,00;;;Extensão de rede BT;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102038526;B-1130519;ER-CIND-FAZ-ESTRELA-RURAL;SÃO JOSÉ DO JACUÍPE;ENERGIZADA;ANTONIO;RENATO;MANOEL GUSTAVO;;LPT;20/01/25;22/01/25;22/01/25;2025-8619;;;;;;E615880 AO E615884;1;5;5;5;0;100,00%;;22/01/25;25/01/25;24/01/2025;;;-11.476167;-40.070389;R$ 53.590,96;;;200,00;;;Transformar estrutura em poste circular e instalar CH com LV. Necessario retro para escavação;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102053037;B-1136793;RR-CIND-FAZ-TAMANDUA 500 --E-RURAL;PIRITIBA;ENERGIZADA;HIAGO;DURVAL;DIORLAN;;LPT;10/01/25;10/01/25;17/01/25;2025-6662;2025-6673;2024-154746;24/01/25;APROVADA;1016766/2024;E699056 ao E699067;1;16;16;16;0;100,00%;;22/01/25;31/01/25;28/01/2025;100268;;-11.748487;-40.5868647;R$ 132.380,20;;;;;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102083313;B-1146649;RR-CIND-POV-CALDEIR O GRANDE-RURAL;PIRITIBA;ENERGIZADA;RODRIGO;DURVAL;DIORLAN;;RECLAMAÇÃO;16/01/25;16/01/25;20/01/25;2025-7192 - CONJ. PD;;2024-154759;21/01/25;CONCLUÍDO;;E615877 ao E615879;1;7;7;7;0;100,00%;;17/01/25;21/01/25;21/01/2025;;;-11.74582487;-40.59656942;R$ 61.383,31;;;;;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102085364;B-1149302;RR-CIND-FAZ-NOVA ESPERANCA-RURAL-FRANCA;PIRITIBA;ANDAMENTO;HIAGO;DURVAL;DIORLAN;;QLP;09/01/25;09/01/25;13/01/25;2025-9886;2025-9915;;;;1016767/2024;E699118 ao E699133;1;16;16;10;6;63%;;22/01/25;28/01/25;;;;-11.65772311;-40.56267717;R$ 121.035,20;;;;;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102096043;B-1151038;ER-CCOL-FAZ-PINDOBEIRA-RURAL;PIRITIBA;EM  LOCAÇÃO;RODRIGO;DURVAL;DIORLAN;;QLP;24/01/25;24/01/25;28/01/25;2025-10261;2025-10265;;;;1016768/2024;E699134 ao E699147;1;14;;;14;0%;;17/01/25;30/01/25;;;;;;R$ 126.327,14;;;;;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102096050;B-1151534;ER-CIND-FAZ-AVENIDA-RURAL;PIRITIBA;EM  LOCAÇÃO;RODRIGO;DURVAL;DIORLAN;;QLP;24/01/25;24/01/25;28/01/25;2025-10267;;;;;;E615932 ao E615939;1;8;;;8;0%;;29/01/25;31/01/25;;;;;;R$ 44.077,73;;;;;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102100090;B-1151885;ER-CIND-RUA-DA ESTACAO 421-RURAL;MUNDO NOVO;ENERGIZADA;LUCIANO;RENATO;DIORLAN;;QLP;03/01/25;03/01/25;08/01/25;OK;;;;;;E615826;1;1;1;1;0;100,00%;;08/01/25;08/01/25;09/01/2025;;;-11.851930;-40.526401;R$ 15.632,47;;;;;;Intercalar poste e trafo c/ LV;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102091405;B-1153459;ER-CIND-FAZ-ESPERANÇA-RURAL;MUNDO NOVO;;ANTONIO;RENATO;DIORLAN;;QLP;24/01/25;24/01/25;28/01/25;2025-11282;2025-11281;;;;;E615940 ao E615948;1;9;;;9;0%;;22/01/25;25/01/25;;;;;;R$ 76.518,33;;;120,00;;;Transformar estrutura em poste circular c LV;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102139062;B-1167459;UB-CIND-RCL-AV-ALVINO RODRIGUES-CENTRO;OUROLÂNDIA;ENERGIZADA;NAILSON;ETEMILSON;NAILTON;;REPUTACIONAL;03/01/25;06/01/25;09/01/25;;;2025-1663;22/01/25;CANCELADA;;E615829;1;1;1;1;0;100,00%;;22/01/25;22/01/25;23/01/2025;;;-10.96135206;-41.0743823;R$ 50.586,46;;;;;;Intercalr poste c trafo c LV;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101762735;B-1020772;ER-CIND-FAZ-ALTAMIRA BOA FE-MASSAMBAO;PIRITIBA;ENERGIZADA;JAILTON;DURVAL;DIORLAN;;LPT;15/01/25;15/01/25;17/01/25;2025-6078;2025-7215;;;;;E615871 AO E615876;1;6;6;6;0;100,00%;;31/01/25;31/01/25;29/01/2025;;;-11.584449;-40.622985;R$ 15.732,26;;;;;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101818316;B-1061441;MP-CCOL FAZ ALAGADINHO JUNCO-RURAL;JACOBINA;ENERGIZADA;HERMOGENES;DURVAL;NAILTON;;LPT;17/12/24;18/12/24;19/12/24;OK;"LM: 2024-153698
ENERG:  2024-153733";;;;1013214/2024;E673676 ao E673715;4;36;36;36;0;100,00%;50,00%;16/12/24;10/01/25;16/01/2025;;;-11.300160;-40.108677;;;;;;;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101991355;B-1121769;ER-CIND-POV-BREJAO DA CAATINGA-RURAL;JACOBINA;ENERGIZADA;ELIEZER;ETEMILSON;DIORLAN;;SOLICITAÇÃO ATENDIMENTO;20/12/24;20/12/24;23/12/24;"2024-141262
2024-153016
2024-153367";;"2024-151128
2024-154615
2025-5557
MANOBRA";23/01/25;CONCLUÍDO;;E615794 AO E615797;0;4;4;4;0;100,00%;100,00%;20/12/24;15/01/25;23/01/2025;;R022700;-10.991472;-40.730930;R$ 55.406,76;;SIM;;;Reprogramado desligamento e manobra para 15/01/2025;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102021683;B-1128957;RC-SEIN-POV-DAS PEDRAS-PEDRAS;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA DEZ/24;JAILTON;;HIAGO SANTANA;;REPUTACIONAL;23/12/24;23/12/24;30/01/25;2025-11294;;;;;;E615806 AO E615807;0;2;;;2;0%;;10/12/24;31/01/25;;;Q025689;-10.1878574;-40.886776;R$ 23.724,88;;SIM;;;Dependende 2 postes 14/600;Intercalar dois postes de14 metros com LV, devido pavimentação da estrada rede ficou baixa. Avaliar;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102026638;B-1128398;ER-CIND-POV-REPRESA-RURAL;PONTO NOVO;ENERGIZADA;EDILSON;DURVAL;LUDIMILA;;PRIORIDADE PLANO ANEEL;16/12/24;16/12/24;18/12/24;;;"2024-145318
2024-153122";"23/12/24
10/01/25";CONCLUÍDO;;E615834;1;1;1;1;0;100,00%;100,00%;26/11/24;10/01/25;10/01/2025;;;-11.0067062;-40.0986349;R$ 44.621,93;;;;;Desligamento reprogramado p/ 10/01/25;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102085632;B-1146336;RR-CIND-POV-CURRALINHO-RURAL;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA NOV/24;JAILTON;ETEMILSON;HIAGO;;REPUTACIONAL;11/11/24;11/11/24;12/11/24;2024-131589;2025-3334;;;;1012146/2024;E669427 ao E669438;;12;16;;12;0,00%;100,00%;22/11/24;24/01/25;;;E238073;-10.235994;-40.605536;R$ 122.883,92;;;190,00;;;Transformar N3/N4;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101827448;B-1062228;MP CIND POV MARGEM DO RIO JACUIPE;SÃO JOSÉ DO JACUÍPE;ENERGIZADA;LUCIANO;RENATO;MANOEL GUSTAVO;;REPUTACIONAL;18/11/24;18/11/24;20/11/24;2024-137923;2025-4193;;;;1012260/2024;E669542 ao E669559;2;18;18;18;0;100,00%;100,00%;28/11/24;13/01/25;14/01/2025;;;-11.482923;-39.870665;R$ 231.078,48;;;;;Pendente detonação , 5 cava perfurada;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102083176;B-1145254;ER-CIND-POV-LAGEDO RASO-RURAL;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA NOV/24;;ETEMILSON;HIAGO;;DIA C;19/11/24;20/11/24;29/01/25;;2025-12194;;;;;E615891 ao E615895;1;6;4;;6;0,00%;100,00%;30/11/24;25/01/25;;;;-10.4469726;-40.5390414;R$ 29.446,95;;;;;Pendente detonação , 4 cava perfurada;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102108609;B-1159520;UB-CIND-RUA-MANDACARU-TIQUARA;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA DEZ/24;JAILTON;ETEMILSON;RAMON;;PRIORIDADE PLANO ANEEL;29/11/24;29/11/24;29/01/25;;2024-147371;;;;1014089/2024;E682280 AO E682286;14;7;;;7;0%;100,00%;26/12/24;27/01/25;;;D397270;-10.462156;-40.5457041;R$ 34.592,90;;;185,00;;Pendente detonação 7 cavas, cavas perfuradas;Extensão 7 BT cabo 1x25 (185mts). Tiquara, cava em rocha;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102097290;B-1156065;ER-CIND-POV-CAMPO FRIO-RURAL;CAMPO FORMOSO;ENERGIZADA;JAILTON;ETEMILSON;RAMON;;PRIORIDADE PLANO ANEEL;03/12/24;03/12/24;09/12/24;;2025-2453;;;;1014092/2024;E682287 AO E682296;1;10;10;10;0;100,00%;100,00%;20/12/24;06/01/25;07/01/2025;;E469842;-10.4915745;-40.4624086;R$ 51.918,21;;SIM;360,00;;Todos os postes implantados, pendente material cabo BT;Extensão 10 BT cabo 1x25 (185mts). Entre Poços e Tiquara, avaliar terreno;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102081216;B-1146061;ER-CIND-SI-GENIO-RURAL;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA DEZ/24;MARIO;ETEMILSON;HIAGO SANTANA - U470061;;PRIORIDADE PLANO ANEEL;16/12/24;06/12/24;15/01/24;2024-151734;;;;;;E601299 AO E601303;1;5;;;5;0%;100,00%;17/12/24;15/01/25;;;E427776;-10.2327054;-40.5009006;R$ 50.535,86;;;485,00;;Alterou projeto para 5 postes, pendente perfuração e detonação;Extensão 8 BT cabo 1x25 (485mts). Cava em rocha;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102082443;B-1148765;ER-CIND-POV-LAGOA DO PORCO-L DO PORCO;CAMPO FORMOSO;ENERGIZADA;RODRIGO;ETEMILSON;HIAGO SANTANA - U470061;;PRIORIDADE PLANO ANEEL;23/12/24;23/12/24;26/12/24;;2025-3364;;;;;E601307 e E601308;1;2;2;2;0;100,00%;100,00%;16/12/24;20/01/25;09/01/2025;;Q063947;-10.3374227;-40.6163507;R$ 14.591,03;;;110,00;;Pendente perfuração e detonação de 2 cavas;Extensão 2 BT cabo 1x25 (110mts), Lagoa do Porco, cava retro;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102085350;B-1149080;ER-CIND-RUA-DA CAIXA DAGUA-B DA CAATINGA;CAMPO FORMOSO;ENERGIZADA;JAILTON;ETEMILSON;HIAGO SANTANA - U470061;;PRIORIDADE PLANO ANEEL;02/12/24;02/12/24;04/12/24;;2025-3315;;;;;E601261;1;1;1;1;0;100,00%;100,00%;13/12/24;10/01/25;09/01/2024;;B196599;-10.4420439;-40.8389634;R$ 9.729,12;;;;45;Pendente detonação, cava já perfurada;Extensão 1 BT cabo 3x35 (45mts), Brejao da Caatinga, CAVA em rocha;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;B-1153564;ER-CIND-SI-GENIO 500-RURAL;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA DEZ/24;MARIO;ETEMILSON;HIAGO SANTANA - U470061;;PRIORIDADE PLANO ANEEL;20/12/24;06/12/24;09/12/24;;2024-151665;;;;;"E601323 ao E601325
E615810";1;4;;;4;0%;100,00%;20/12/24;17/01/25;;;B182570;-10.2727445;-40.4822468;R$ 17.629,47;;;185,00;;Pendente perfuração e detonação de 4 cavas;Extensão 3 BT cabo 1x25 (185mts), Cava em rocha retro];JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102103254;B-1156370;ER-CIND-POV-TIQUIRA 6-RURAL;CAMPO FORMOSO;ENERGIZADA;JAILTON;;RAMON;;REPUTACIONAL;23/12/24;23/12/24;26/12/24;2025-11295;2025-11296;;;;1014098/2024;E682306 AO E682322;2;17;3;16;1;94,12%;100,00%;09/12/24;27/01/25;31/01/2025;;E225972;-10.4439717;-40.5773901;R$ 154.847,52;;;410,00;;Pendente perfuração e detonação de 17 cavas;Transformar N3 em N4;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102108079;B-1157858;ER-CIND-POV-LAGEDO RASO-TIQUARA;CAMPO FORMOSO;ENERGIZADA;MARIO;ETEMILSON;RAMON;;REPUTACIONAL;23/12/24;23/12/24;29/01/25;;2025-11689;;;;;E615803 AO E615805;1;3;3;3;0;100,00%;100,00%;10/12/24;27/01/25;31/01/2025;;E477032;-10.4249413;-40.5391468;R$ 19.021,39;;;180,00;;Pendente perfuração e detonação de 3 cavas;Extensão 3 BT cabo 1x25 (180mts), Cava em rocha retro. Projetado poste de fibra 1 poste. Avaliar;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101915825;B-1087344;AC-CIND-FAZ-NOVA PAZ 02-RURAL;BAIXA GRANDE;ENERGIZADA;EDILSON;DURVAL;MANOEL GUSTAVO;;JUDICIAL;29/11/24;29/11/24;02/12/24;2024-150987;2024-153625;;;;;E669453 ao E669459;1;7;7;7;0;100,00%;100,00%;02/12/24;07/01/25;08/01/2025;;P369429;-12.038977;-39.973915;R$ 39.634,02;;;;100;Em detonação de repasse de 3 cavas;Intercalar poste c LV e extender rede MT e BT cabo 3x35 (100mts), Entre Baixa Grande e Ipirá;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9101829285;B-1081404;MP-CCOL POV MARGEM DO RIO JACUIPE RURAL;SÃO JOSÉ DO JACUÍPE;ENERGIZADA;ANTONIO;RENATO;GUSTAVO;;LPT;09/12/24;09/12/24;11/12/24;"2025-9321
2025-9746";"LM: 2024-153648
ENERG:  2025-10556";;;;1014103/2024;E682353 AO E682411;3;30;30;30;0;100,00%;100,00%;13/12/24;24/01/25;28/01/2025;99638;D242920;-11.440416;-39.897179;R$ 422.701,81;;;150,00;;Pendente perfuração e detonação de 15 cavas;Intercalar dois postes com LV, Sendo um c trafo para atender cliente e o outro para derivar a rede. Terreno rochoso, 80% cava em rocha com explosivo. Tres postes BT para atender cliente 20 e restante da obra MT MT;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102055259;B-1138569;ER-CIND-POV-TANQUE NOVO-RURAL;CAMPO FORMOSO;EM ANDAMENTO - MIGRADA DEZ/24;JAILTON;;HIAGO SANTANA - U470061;;DIA C SIPEL JACOBINA;10/12/24;10/12/24;30/01/25;2025-11297;;;;;;E601282;;1;1;;1;0%;;14/12/24;28/01/25;;;;-10.5672906;-40.477524;;;;;;Pendente detonação , cava perfurada;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9102133516;B-1160515;ER-CIND-POV-BREJAO DA CAATINGA-RURAL;CAMPO FORMOSO;ENERGIZADA;MARIO;ETEMILSON;RAMON SANTOS - U464714;;DIA C SIPEL JACOBINA;18/12/24;18/12/24;29/01/25;;2025-11504;;;;;E601310;;1;;;1;0,00%;100,00%;23/01/25;30/01/25;31/01/2025;;;-10.4378655;-40.8402098;;;;;;Pendente perfuração e detonação de 1 cava;;JAC Jan 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
